uuid,code,column,value_from,value_to,ruleset,message,severity
00008100_001feb36,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_003283d0,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f48b9,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_00214a0c,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f2b8a,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_001f37db,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_001f199e,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f1994,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f2b07,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_002d673d,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_001f1992,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f1990,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001fa71f,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001ed9da,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_003708c0,APPLIED_REGEX_RULE,art_bot,Tilia x europaea 'Konnings',Tilia hybr. europaea 'Konnings',markers,normalize hybrid marker,NA
00008100_0024b849,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f3937,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001ff5ea,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001ff5ee,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001ff5f7,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_002d85de,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_001f196c,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f19b6,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5cab,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
