code,value_from,value_to,message,n
APPLIED_REGEX_RULE,Tilia spec.,Tilia sp.,normalize unknown species abbr.,13740
APPLIED_REGEX_RULE,Tsuga spec.,Tsuga sp.,normalize unknown species abbr.,8
APPLIED_REGEX_RULE,Ulmus spec.,Ulmus sp.,normalize unknown species abbr.,3944
DUPLICATE_LOCATION,"c(371823.513299899, 5812818.68669957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(371929.937699899, 5813192.87709957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(371937.7850999, 5812884.26389957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(371939.9246999, 5813192.72919957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(371984.0123999, 5812849.35359957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372393.545699901, 5813193.74499957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372396.951799901, 5813270.08319957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372463.282299902, 5813446.69019957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372468.831099902, 5813448.00269957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372499.569099902, 5813505.96099957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372510.176799901, 5813525.36759957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372511.010499902, 5813528.50959957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372511.366599902, 5813557.39259957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372513.093399902, 5813559.64769958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372546.974999902, 5813589.08039957)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372547.852099902, 5813589.87569958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372663.688799902, 5813804.79489958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372669.242799903, 5813815.42489958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372746.450499903, 5812242.22019958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372867.676599903, 5822880.76179958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372959.597999904, 5812231.28919958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372963.222699903, 5812232.59429958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372966.201399903, 5812234.26659958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372970.618299904, 5812236.21259958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372975.454799904, 5812237.35359958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372978.622099904, 5812239.32029958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(372982.312899904, 5812238.26319958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(373086.136899904, 5813006.87079958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(373575.203699906, 5812335.74139958)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(373656.933699906, 5822739.41979959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374144.569099908, 5809105.51279959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374204.099899908, 5821458.55569959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374507.862499909, 5817771.40649959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374512.41049991, 5821004.72009959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374765.368799911, 5821065.28999959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374777.17509991, 5820923.58419959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374781.52969991, 5821065.92739959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374788.39709991, 5821051.56609959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374831.80499991, 5813607.86399959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374849.324999911, 5820826.74569959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374852.837499911, 5820830.85089959)",NA,duplicate location flag added,2
